fold,feature,target,n_test,n_train,target_n,total_band,target_band,shrink_weight,changed,target_probability,delta_full_log,delta_event_log,delta_dest_log,delta_binary_brier,delta_multiclass_brier
1,"[0, 4, 2, 2]",0,9,62,24,50+,20-49,0.7560975609756098,1,0.3632898021893605,0.22708637071749993,0.13586942714365946,0.09121694357384046,-0.06374264822526271,-0.16429115168605113
1,"[0, 4, 2, 2]",1,5,62,36,50+,20-49,0.7560975609756098,0,0.5971544715447155,-0.08222914115483104,-0.08222914115483104,0.0,0.03861507535197305,0.08566979831714969
1,"[0, 4, 2, 2]",2,1,62,0,50+,0-0,0.7560975609756098,1,0.009823314768580756,-1.410986973710262,0.13586942714365946,-1.5468564008539216,-0.06374264822526271,0.04421662630511447
1,"[0, 5, 1, 1]",2,1,2,2,1-4,1-4,0.09090909090909091,0,0.9487528764514509,0.005416165954704906,0.005416165954704906,0.0,-0.0005515162111200556,-0.0009868295060823677
1,"[0, 5, 2, 1]",1,1,1,0,1-4,0-0,0.047619047619047616,1,0.047452789669839415,-0.048790164169431716,-0.048790164169431716,0.0,0.005073306051553317,0.009585393218914495
1,"[0, 5, 2, 1]",2,1,1,1,1-4,1-4,0.047619047619047616,0,0.9463125372348534,0.0028406975324772044,0.0028406975324772044,0.0,-0.0002954402249612997,-0.0005286320245842481
1,"[0, 6, 1, 1]",2,1,3,2,1-4,1-4,0.13043478260869565,0,0.8365115687770149,-0.03000135192496836,-0.03000135192496836,0.0,0.00768123893678303,0.015026676437735677
1,"[0, 6, 2, 1]",2,1,1,1,1-4,1-4,0.047619047619047616,0,0.8685602896129212,0.007595299129144112,0.007595299129144112,0.0,-0.0017708307403305097,-0.0031157633935853107
1,"[0, 7, 1, 1]",2,1,2,2,1-4,1-4,0.09090909090909091,0,0.9952801149189411,0.0004743392852170599,0.0004743392852170599,0.0,-4.678236187464492e-06,-8.595927361466334e-06
1,"[0, 8, 1, 1]",1,1,1,0,1-4,0-0,0.047619047619047616,1,0.20927911394442833,-0.04879016416943216,-0.04879016416943188,-2.220446049250313e-16,0.020424475723416977,0.020674122884357216
1,"[1, 2, 1, 1]",1,1,0,0,0-0,0-0,0.0,1,0.015226337448559672,0.0,0.0,1.1102230246251565e-16,0.0,0.0
1,"[1, 2, 1, 2]",0,1,1,1,1-4,1-4,0.047619047619047616,0,0.9659024103468548,0.001766623468204838,0.001766623468204838,0.0,-0.00011917117606581313,-0.0001730020983764268
1,"[1, 3, 1, 2]",0,1,7,7,5-19,5-19,0.25925925925925924,0,0.924374188236521,0.029052511585879667,0.029052511585879667,0.0,-0.004704094150518052,-0.007496275408491971
1,"[1, 3, 2, 1]",0,1,2,1,1-4,1-4,0.09090909090909091,0,0.8617319582902758,-0.041120174655134734,-0.041120174655134734,0.0,0.00869469380283884,0.010812288313872275
1,"[1, 3, 2, 2]",0,14,58,52,50+,50+,0.7435897435897436,0,0.896898757466488,-0.0011214559449024275,-0.0011214559449024275,0.0,0.00020650865655083908,0.0012945826424121051
1,"[1, 3, 2, 2]",1,1,58,5,50+,5-19,0.7435897435897436,1,0.08372945385741384,0.08971370812298263,0.009809199875470576,0.07990450824751211,-0.0018062846490796147,-0.015087378290218334
1,"[1, 4, 1, 1]",0,1,152,6,50+,5-19,0.8837209302325582,1,0.044053206629465075,-0.5822452578580402,0.008225154596275042,-0.5904704124543155,-0.002178091102403079,0.06983505485310193
1,"[1, 4, 1, 1]",1,38,152,128,50+,50+,0.8837209302325582,0,0.8422752617979056,-0.0015327528008853564,-0.0015327528008853564,0.0,0.0004058882257624123,0.0028102934133983
1,"[1, 4, 1, 1]",2,3,152,17,50+,5-19,0.8837209302325582,1,0.10679876765710285,0.4445594305004481,0.008225154596275042,0.43633427590417284,-0.002178091102403079,-0.07643241752680408
1,"[1, 4, 1, 1]",3,2,152,1,50+,1-4,0.8837209302325582,1,0.006872763915526471,-0.2813419006715234,0.008225154596275042,-0.2895670552677987,-0.002178091102403079,0.004692325601235003
1,"[1, 4, 1, 2]",1,10,55,46,50+,20-49,0.7333333333333333,0,0.8382846003898635,-0.006281966439291353,-0.006281966439291353,0.0,0.0016806656559093178,0.002869181280864913
1,"[1, 4, 2, 1]",1,11,45,42,20-49,20-49,0.6923076923076923,0,0.9057130004498425,0.07108285144557717,0.07108285144557717,0.0,-0.015581166530985412,-0.021455362200264547
1,"[1, 4, 2, 2]",0,10,296,34,50+,20-49,0.9367088607594937,1,0.11258592259578479,0.35607328372661495,0.033731972251963116,0.3223413114746517,-0.009025698349626743,-0.07316266241818936
1,"[1, 4, 2, 2]",1,51,296,248,50+,50+,0.9367088607594937,0,0.8382004589532904,-0.006382344830586667,-0.006382344830586667,0.0,0.001707886667769061,0.00502761376397684
1,"[1, 4, 2, 2]",2,5,296,11,50+,5-19,0.9367088607594937,1,0.039143633028549646,-0.559149178134343,0.033731972251963116,-0.5928811503863062,-0.009025698349626743,0.05294556639165049
1,"[1, 5, 1, 1]",2,7,20,13,20-49,5-19,0.5,0,0.7280113471050335,-0.10179526394045829,-0.10179526394045829,0.0,0.036350632142097404,0.0729967065222977
1,"[1, 5, 2, 1]",2,4,8,7,5-19,5-19,0.2857142857142857,0,0.8257304958643336,0.024156545389607792,0.024156545389607792,0.0,-0.007257335089830123,-0.014156064139060578
1,"[1, 5, 2, 2]",2,1,17,14,5-19,5-19,0.4594594594594595,0,0.8140663211946307,0.009929939654246323,0.009929939654246323,0.0,-0.0030558622474229843,-0.005629956142689602
1,"[1, 6, 1, 1]",2,1,3,1,1-4,1-4,0.13043478260869565,0,0.8005339435545386,-0.08391981567581644,-0.08391981567581644,0.0,0.02304597975762209,0.03443258790580231
1,"[1, 6, 2, 2]",2,4,6,5,5-19,5-19,0.23076923076923078,0,0.8620107962213226,-0.009930954950976956,-0.009930954950976956,0.0,0.0023002924431914443,0.004924289540042752
1,"[1, 7, 1, 1]",2,1,2,1,1-4,1-4,0.09090909090909091,0,0.9150420685409398,-0.04435912686555387,-0.04435912686555387,0.0,0.005329623935758121,0.010629870146476476
