year,fips,rep_votes,dem_votes,acs_vintage,total_pop,hispanic,edu_total_25plus,hs_or_less
2012,08039,10266,3603,2012,23058,1280,15848,5045
2012,08041,170952,111819,2012,622816,93837,393192,111982
2012,08043,13174,6704,2012,47006,5839,36150,19182
2012,08045,12535,11305,2012,56330,15743,36515,14753
2012,08047,1346,1892,2012,5358,319,4163,1199
2012,08049,4253,3684,2012,14608,1095,10768,3633
2012,08051,3341,5044,2012,15385,1280,9696,2136
2012,08053,353,229,2012,790,19,691,189
2012,08055,1646,1953,2012,6730,2391,5185,2279
2012,08057,600,216,2012,1397,126,1058,486
2012,08059,144197,159296,2012,536095,77024,371992,104217
2012,08061,677,118,2012,1393,65,878,314
2012,08063,2785,838,2012,8210,1534,5691,2779
2012,08065,1098,1839,2012,7372,2519,4844,1695
2012,08067,12794,15489,2012,51443,6119,34900,8990
2012,08069,82376,92747,2012,300870,31771,193909,48375
2012,08071,3263,3445,2012,15385,6459,10849,4898
2012,08073,1687,552,2012,5443,680,4000,2305
2012,08075,6179,2712,2012,22541,3542,14912,6804
2012,08077,47472,23846,2012,146562,19484,97568,39778
2012,08079,344,291,2012,702,15,622,184
2012,08081,4695,1330,2012,13547,1918,8740,4232
2012,08083,7401,4542,2012,25424,2865,17710,6820
2012,08085,13552,6138,2012,40994,8037,28357,13348
2012,08087,6602,3912,2012,28200,9557,17938,9408
2012,08089,4382,3647,2012,18791,7596,12579,6158
2012,08091,1481,1646,2012,4445,91,3581,865
2012,08093,5236,3862,2012,16168,777,12296,3528
2012,08095,1637,588,2012,4380,1103,2810,1305
2012,08097,3024,6849,2012,17000,1532,13099,1832
2012,08099,3230,1519,2012,12539,4432,7905,3844
2012,08101,31894,42551,2012,159072,65892,105306,44520
2012,08103,2724,568,2012,6728,691,4400,1881
2012,08105,2918,2478,2012,11925,5098,7955,3653
2012,08107,5469,7547,2012,23385,1535,16415,3455
2012,08109,964,1864,2012,6189,2556,4260,2172
2012,08111,212,266,2012,747,108,580,166
2012,08113,1154,2992,2012,7432,664,5457,1141
2012,08115,881,419,2012,2389,446,1694,838
2012,08117,5571,9347,2012,27753,3836,20341,4240
2012,08119,8702,4333,2012,23163,1248,17189,5514
2012,08121,2076,468,2012,4796,431,3375,1571
2012,08123,63775,49050,2012,253552,71792,155571,64126
2012,08125,3490,987,2012,10032,2080,6709,3199
2012,09001,175168,217294,2012,918892,155557,619381,211077
2012,09003,143238,244639,2012,893504,137155,610975,244384
2012,09005,47201,43856,2012,189277,8575,135759,53021
2012,09007,34591,47855,2012,165639,7968,117863,40322
2012,09009,138357,218972,2012,860995,129612,583906,246133
2012,09011,46119,67144,2012,273723,23331,187542,76540
2012,09013,30450,39366,2012,152137,6655,96665,33538
2012,09015,19768,25957,2012,118046,11332,79249,40692
2012,10001,32135,35527,2012,162785,9521,104474,51039
2012,10003,81230,167082,2012,539665,46774,356060,141286
2012,10005,52119,39975,2012,197681,16935,142797,72890
2012,11001,21381,267070,2012,605759,56259,417432,131610
2012,12001,48797,69699,2012,247973,20924,145621,44099
2012,12003,8975,2311,2012,27010,572,17366,12070
2012,12005,56876,22051,2012,168957,8171,115548,50572
2012,12007,8219,3325,2012,28404,1030,20294,12640
2012,12009,159300,122993,2012,544019,44432,393540,155677
2012,12011,244101,508312,2012,1761993,444904,1220643,492143
2012,12013,4366,1664,2012,14639,755,10314,6913
2012,12015,47996,35906,2012,160380,9496,128612,59015
2012,12017,44662,28460,2012,140805,6595,110425,58905
2012,12019,70022,25759,2012,190891,14867,124825,49886
2012,12021,96520,51698,2012,323548,83512,238278,100162
2012,12023,18429,8462,2012,67546,3325,45605,24320
2012,12027,5587,4174,2012,34628,10360,23020,15556
2012,12029,5052,1798,2012,16301,342,11379,7029
2012,12031,211615,196737,2012,866431,65943,571649,236368
2012,12033,88711,58185,2012,298864,14243,195863,82546
2012,12035,26969,23207,2012,95987,8436,70826,30933
2012,12037,3570,1845,2012,11545,524,8809,4935
2012,12039,6630,15770,2012,46823,4552,31683,19053
2012,12041,5917,1885,2012,16880,810,11292,6919
2012,12043,2344,1603,2012,12952,2702,9429,6029
2012,12045,4995,2014,2012,15796,685,11869,6892
2012,12047,3138,2228,2012,14728,1293,9897,6624
2012,12049,4696,2463,2012,27347,11663,16746,11911
2012,12051,5355,4751,2012,38669,18946,23475,16419
2012,12053,44938,37830,2012,172784,17986,127296,66458
2012,12055,25915,16148,2012,98734,17175,74170,41420
2012,12057,250186,286467,2012,1238365,307899,815442,339007
2012,12059,6919,1264,2012,19971,483,14064,8755
2012,12061,43450,27492,2012,138203,15501,103050,42682
2012,12063,13418,7342,2012,49589,2177,35245,19803
2012,12065,3808,3945,2012,14564,544,10705,5913
2012,12067,2668,687,2012,8668,906,5692,3363
2012,12069,87643,61799,2012,297995,36397,216443,102783
