group,method,direction,reference_pp,estimate_pp,error_pp
Latino_employed_2020,unadjusted,0_to_2,1.5410958904109588,1.0638297872340425,-0.4772661031769163
Latino_employed_2020,unadjusted,0_to_3,0.5136986301369862,0.3546099290780142,-0.15908870105897205
Latino_employed_2020,unadjusted,1_to_0,2.054794520547945,1.773049645390071,-0.28174487515787394
Latino_employed_2020,unadjusted,1_to_2,2.2260273972602738,1.4184397163120568,-0.807587680948217
Latino_employed_2020,unadjusted,1_to_3,0.5136986301369862,0.0,-0.5136986301369862
Latino_employed_2020,unadjusted,2_to_0,1.36986301369863,1.4184397163120568,0.048576702613426725
Latino_employed_2020,unadjusted,2_to_1,1.7123287671232876,1.773049645390071,0.06072087826678341
Latino_employed_2020,unadjusted,2_to_3,0.17123287671232876,0.0,-0.17123287671232876
Latino_employed_2020,unadjusted,3_to_0,0.5136986301369862,0.7092198581560284,0.19552122801904215
Latino_employed_2020,unadjusted,3_to_1,1.36986301369863,0.3546099290780142,-1.0152530846206158
Latino_employed_2020,unadjusted,3_to_2,0.17123287671232876,0.0,-0.17123287671232876
Latino_employed_2020,baseline_standardization,0_to_1,1.8835616438356164,1.78010209390271,-0.10345954993290651
Latino_employed_2020,baseline_standardization,0_to_2,1.5410958904109588,0.5129623616562737,-1.028133528754685
Latino_employed_2020,baseline_standardization,0_to_3,0.5136986301369862,0.1641841337954558,-0.3495144963415304
Latino_employed_2020,baseline_standardization,1_to_0,2.054794520547945,1.8230099156874988,-0.23178460486044616
Latino_employed_2020,baseline_standardization,1_to_2,2.2260273972602738,1.4879849380735297,-0.738042459186744
Latino_employed_2020,baseline_standardization,1_to_3,0.5136986301369862,0.4452476699563006,-0.06845096018068564
Latino_employed_2020,baseline_standardization,2_to_0,1.36986301369863,0.5604705785236866,-0.8093924351749434
Latino_employed_2020,baseline_standardization,2_to_1,1.7123287671232876,1.7670096031791749,0.05468083605588725
Latino_employed_2020,baseline_standardization,2_to_3,0.17123287671232876,0.1888611311605159,0.017628254448187136
Latino_employed_2020,baseline_standardization,3_to_0,0.5136986301369862,0.7436306558738065,0.22993202573682026
Latino_employed_2020,baseline_standardization,3_to_1,1.36986301369863,0.9398349937733499,-0.43002801992528017
Latino_employed_2020,baseline_standardization,3_to_2,0.17123287671232876,0.2743617683686177,0.10312889165628894
