model,delta,tau_loglik_loss,objective,attained_value,g01,g12,sum,loglik,fixed_reference_loglik,actual_maximum_drift,weighted_average_drift,minimum_middle_state_mass,minimum_parameter,near_boundary_count,status,global_certificate
hmm3,0.05,10.0,g01_max,0.060797775887612135,0.060797775887612135,0.030005203350239793,0.09080297923785192,-10312.623378459135,-10303.05290322578,0.0,0.0,0.15550638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.05,10.0,g12_min,0.007083673446228634,0.029643896837295576,0.007083673446228634,0.03672757028352421,-10312.955499910366,-10303.05290322578,0.05,0.015670757191917642,0.1370665953603045,0.0,3,locally_searched_attained_extreme,False
hmm3,0.05,10.0,g12_max,0.03515860096749157,0.05679777588761214,0.03515860096749157,0.09195637685510372,-10313.002731914392,-10303.05290322578,0.0,0.0,0.15950638218999375,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.05,10.0,sum_min,0.03273383711946244,0.025643896837295573,0.007089940282166866,0.03273383711946244,-10312.25632821625,-10303.05290322578,0.05,0.015789098884510088,0.1400665953603045,0.0,3,locally_searched_attained_extreme,False
hmm3,0.05,10.0,sum_max,0.09239977910596767,0.05779777588761214,0.03460200321835553,0.09239977910596767,-10313.019370311424,-10303.05290322578,0.0,0.0,0.16050638218999375,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.075,2.0,g01_min,0.01938865165350796,0.01938865165350796,0.008589767549430421,0.02797841920293838,-10304.908364813862,-10303.05290322578,0.07500000000000002,0.024338928353292648,0.15440045929877258,0.0,3,locally_searched_attained_extreme,False
hmm3,0.075,2.0,g01_max,0.05479777588761213,0.05479777588761213,0.02638332575732556,0.08118110164493769,-10304.938979973256,-10303.05290322578,0.0,0.0,0.15550638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.075,2.0,g12_min,0.008027781700875885,0.01838865165350796,0.008027781700875885,0.026416433354383845,-10304.941998751729,-10303.05290322578,0.07500000000000002,0.02425718799535424,0.15306712596543923,0.0,4,locally_searched_attained_extreme,False
hmm3,0.075,2.0,g12_max,0.0281691130859821,0.05279777588761213,0.0281691130859821,0.08096688897359422,-10305.041954952385,-10303.05290322578,0.0,0.0,0.15750638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.075,2.0,sum_min,0.02495854484442169,0.017388651653507958,0.007569893190913734,0.02495854484442169,-10304.9790520468,-10303.05290322578,0.07500000000000002,0.024252820051046002,0.15306712596543923,0.0,4,locally_searched_attained_extreme,False
hmm3,0.075,2.0,sum_max,0.0819124149591531,0.05479777588761213,0.027114639071540964,0.0819124149591531,-10305.035013652327,-10303.05290322578,0.0,0.0,0.15650638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.075,10.0,g01_min,0.0,0.0,0.0,0.0,-10312.724631562156,-10303.05290322578,0.07499999999999996,0.03518762640208365,0.15370001141611875,0.0,12,locally_searched_attained_extreme,False
hmm3,0.075,10.0,g01_max,0.060797775887612135,0.060797775887612135,0.030005203350239793,0.09080297923785192,-10312.623378459135,-10303.05290322578,0.0,0.0,0.15550638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.075,10.0,g12_min,0.0,0.0,0.0,0.0,-10312.724631562156,-10303.05290322578,0.07499999999999996,0.03518762640208365,0.15370001141611875,0.0,12,locally_searched_attained_extreme,False
hmm3,0.075,10.0,g12_max,0.03515974890333731,0.05579777588761214,0.03515974890333731,0.09095752479094946,-10312.771016065542,-10303.05290322578,0.0,0.0,0.15950638218999375,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.075,10.0,sum_min,0.0,0.0,0.0,0.0,-10312.724631562156,-10303.05290322578,0.07499999999999996,0.03518762640208365,0.15370001141611875,0.0,12,locally_searched_attained_extreme,False
hmm3,0.075,10.0,sum_max,0.09239977910596767,0.05779777588761214,0.03460200321835553,0.09239977910596767,-10313.019370311424,-10303.05290322578,0.0,0.0,0.16050638218999375,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.1,2.0,g01_min,0.0,0.0,0.0,0.0,-10303.76158555001,-10303.05290322578,0.09999999999999999,0.03939177662226484,0.1535612074079824,0.0,12,locally_searched_attained_extreme,False
hmm3,0.1,2.0,g01_max,0.05479777588761213,0.05479777588761213,0.02638332575732556,0.08118110164493769,-10304.938979973256,-10303.05290322578,0.0,0.0,0.15550638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.1,2.0,g12_min,0.0,0.0,0.0,0.0,-10303.76158555001,-10303.05290322578,0.09999999999999999,0.03939177662226484,0.1535612074079824,0.0,12,locally_searched_attained_extreme,False
hmm3,0.1,2.0,g12_max,0.0281691130859821,0.05279777588761213,0.0281691130859821,0.08096688897359422,-10305.041954952385,-10303.05290322578,0.0,0.0,0.15750638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.1,2.0,sum_min,0.0,0.0,0.0,0.0,-10303.76158555001,-10303.05290322578,0.09999999999999999,0.03939177662226484,0.1535612074079824,0.0,12,locally_searched_attained_extreme,False
hmm3,0.1,2.0,sum_max,0.08191256289499883,0.05479777588761213,0.027114787007386704,0.08191256289499883,-10305.045796962184,-10303.05290322578,0.0,0.0,0.15650638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.1,10.0,g01_min,0.0,0.0,0.0,0.0,-10303.76158555001,-10303.05290322578,0.09999999999999999,0.03939177662226484,0.1535612074079824,0.0,12,locally_searched_attained_extreme,False
hmm3,0.1,10.0,g01_max,0.060797775887612135,0.060797775887612135,0.030005203350239793,0.09080297923785192,-10312.623378459135,-10303.05290322578,0.0,0.0,0.15550638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
